Unnamed: 0,CL:0000945
GSM240833,-1
GSM240832,-1
GSM240835,-1
GSM240834,-1
GSM240837,-1
GSM240836,-1
GSM240839,-1
GSM240838,-1
GSM281902,-1
GSM281903,-1
GSM281900,-1
GSM281901,-1
GSM281906,-1
GSM281907,-1
GSM281904,-1
GSM281905,-1
GSM281908,-1
GSM281909,-1
GSM408728,-1
GSM249719,-1
GSM408723,-1
GSM408722,-1
GSM498681,-1
GSM498680,-1
GSM358381,-1
GSM258036,-1
GSM258037,-1
GSM258038,-1
GSM624037,-1
GSM97881,-1
GSM97880,-1
GSM97883,-1
GSM97885,-1
GSM97884,-1
GSM97887,-1
GSM97886,-1
GSM158711,0
GSM158712,0
GSM158713,0
GSM158714,0
GSM158715,0
GSM158716,0
GSM158717,0
GSM158718,0
GSM158719,0
GSM343846,-1
GSM343847,-1
GSM343844,-1
GSM343845,-1
GSM343842,-1
GSM343843,-1
GSM343840,-1
GSM343841,-1
GSM564836,-1
GSM564834,-1
GSM564835,-1
GSM262044,-1
GSM262045,-1
GSM262046,-1
GSM262047,-1
GSM262040,-1
GSM262041,-1
GSM262042,-1
GSM262043,-1
GSM262048,-1
GSM262049,-1
GSM347699,-1
GSM287405,-1
GSM287404,-1
GSM287407,-1
GSM287406,-1
GSM287401,-1
GSM287400,-1
GSM287403,-1
GSM287402,-1
GSM287409,-1
GSM287408,-1
GSM249869,-1
GSM249868,-1
GSM249866,-1
GSM249861,-1
GSM249860,-1
GSM249863,-1
GSM249862,-1
GSM152011,-1
GSM152010,-1
GSM152013,-1
GSM152012,-1
GSM152015,-1
GSM152014,-1
GSM152017,-1
GSM152016,-1
GSM654658,-1
GSM654659,-1
GSM387118,0
GSM387119,0
GSM387111,0
GSM387112,0
GSM387113,0
GSM388137,-1
GSM388135,-1
GSM388134,-1
GSM388133,-1
GSM388132,-1
GSM388131,-1
GSM388130,-1
GSM297879,0
GSM297878,0
GSM297875,0
GSM297874,0
GSM297877,0
GSM297876,0
GSM297871,0
GSM297870,0
GSM297873,0
GSM297872,0
GSM493987,1
GSM187268,-1
GSM187269,-1
GSM386249,0
GSM386243,0
GSM386241,0
GSM493986,1
GSM493984,1
GSM300238,-1
GSM300239,-1
GSM300230,-1
GSM300231,-1
GSM300234,-1
GSM300235,-1
GSM306179,-1
GSM306178,-1
GSM306175,-1
GSM306174,-1
GSM306177,-1
GSM306176,-1
GSM306171,-1
GSM306170,-1
GSM306173,-1
GSM306172,-1
GSM543329,-1
GSM342782,-1
GSM342783,-1
GSM342781,-1
GSM490991,-1
GSM342788,-1
GSM342789,-1
GSM151977,-1
GSM151976,-1
GSM151975,-1
GSM151974,-1
GSM151973,-1
GSM151972,-1
GSM151971,-1
GSM151970,-1
GSM490990,-1
GSM151979,-1
GSM151978,-1
GSM553481,0
GSM553480,0
GSM553483,0
GSM553482,0
GSM553485,0
GSM553487,0
GSM553486,0
GSM490993,-1
GSM578899,-1
GSM531690,0
GSM531691,0
GSM531692,0
GSM531693,0
GSM531694,0
GSM531695,0
GSM390160,-1
GSM476267,-1
GSM476266,-1
GSM476265,-1
GSM476264,-1
GSM476263,-1
GSM476262,-1
GSM476261,-1
GSM476260,-1
GSM490999,-1
GSM475790,-1
GSM475798,-1
GSM490998,-1
GSM516801,-1
GSM306948,-1
GSM306949,-1
GSM306944,-1
GSM306946,-1
GSM306947,-1
GSM306940,-1
GSM146148,-1
GSM146149,-1
GSM146146,-1
GSM146147,-1
GSM146144,-1
GSM146145,-1
GSM146142,-1
GSM146143,-1
GSM648699,-1
GSM648698,-1
GSM648691,-1
GSM648690,-1
GSM648693,-1
GSM648692,-1
GSM648695,-1
GSM648694,-1
GSM648697,-1
GSM648696,-1
GSM281322,-1
GSM281323,-1
GSM281320,-1
GSM281321,-1
GSM281326,-1
GSM281327,-1
GSM281324,-1
GSM281325,-1
GSM281328,-1
GSM281329,-1
GSM371658,-1
GSM371659,-1
GSM371388,-1
GSM371389,-1
GSM371380,-1
GSM371381,-1
GSM371382,-1
GSM371383,-1
GSM371384,-1
GSM371385,-1
GSM371386,-1
GSM371387,-1
GSM490148,-1
GSM490149,-1
GSM490146,-1
GSM490145,-1
GSM578964,-1
GSM464377,-1
GSM464378,-1
GSM464379,-1
GSM101652,-1
GSM101651,-1
GSM101650,-1
GSM693853,-1
GSM693852,-1
GSM693851,-1
GSM693850,-1
GSM693854,-1
GSM261298,-1
GSM261299,-1
GSM230414,-1
GSM230415,-1
GSM230416,-1
GSM230417,-1
GSM230410,-1
GSM249986,-1
GSM249987,-1
GSM249984,-1
GSM249985,-1
GSM249983,-1
GSM249980,-1
GSM249981,-1
GSM249988,-1
GSM350257,-1
GSM350255,-1
GSM350254,-1
GSM290399,-1
GSM290398,-1
GSM350251,-1
GSM350250,-1
GSM290397,-1
GSM290396,-1
GSM350259,-1
GSM350258,-1
GSM387099,0
GSM387098,0
GSM387091,0
GSM387090,0
GSM387093,0
GSM387094,0
GSM387097,0
GSM272959,-1
GSM272958,-1
GSM272957,-1
GSM272956,-1
GSM272955,-1
GSM272954,-1
GSM139131,-1
GSM272952,-1
GSM272951,-1
GSM272950,-1
GSM124675,0
GSM603045,-1
GSM603044,-1
GSM603043,-1
GSM122539,-1
GSM122538,-1
GSM122535,-1
GSM122534,-1
GSM122537,-1
GSM122536,-1
GSM122531,-1
GSM122530,-1
GSM122533,-1
GSM122532,-1
GSM564833,-1
GSM97913,-1
GSM97912,-1
GSM97911,-1
GSM97910,-1
GSM97917,-1
GSM97916,-1
GSM97915,-1
GSM97914,-1
GSM97919,-1
GSM97918,-1
GSM563250,0
GSM563256,0
GSM563255,0
GSM563254,0
GSM491178,-1
GSM491179,-1
GSM491175,-1
GSM491176,-1
GSM491177,-1
GSM516678,-1
GSM400723,0
GSM407110,0
GSM400721,0
GSM400720,0
GSM400727,0
GSM407114,0
GSM407117,0
GSM407116,0
GSM389789,-1
GSM389788,-1
GSM389783,-1
GSM389782,-1
GSM389786,-1
GSM389785,-1
GSM673961,-1
GSM673960,-1
GSM673963,-1
GSM673962,-1
GSM673965,-1
GSM155631,-1
GSM673967,-1
GSM673966,-1
GSM673969,-1
GSM673968,-1
GSM523378,-1
GSM523379,-1
GSM523370,-1
GSM523371,-1
GSM523372,-1
GSM523373,-1
GSM523374,-1
GSM523375,-1
GSM523376,-1
GSM523377,-1
GSM450710,0
GSM377467,-1
GSM377465,-1
GSM377464,-1
GSM377462,-1
GSM377461,-1
GSM377468,-1
GSM234850,0
GSM555975,-1
GSM555978,-1
GSM258898,-1
GSM258899,-1
GSM258896,-1
GSM258897,-1
GSM258895,-1
GSM654656,-1
GSM489337,-1
GSM654650,-1
GSM489339,-1
GSM489338,-1
GSM654652,-1
GSM654653,-1
GSM97967,-1
GSM97965,-1
GSM261311,-1
GSM261310,-1
GSM261313,-1
GSM261312,-1
GSM261315,-1
GSM261314,-1
GSM261317,-1
